run,N,M,S,finZ,totIt,timefin,bestat,deadfrac,it99,s2tot,s4tot,s4per1k,stag,pmpeak,pmfin,ccpeak,ccfin,ccdeath,coll,coll_it,tmfin,stag_events
R4,150,9,30,8224.9355,8337,239.8,8233,0.01247451121506537,3230,1906731,56,6.717044500419815,141,2858,818,,,,77,140,24,141
R4,200,3,10,3795.4734,15378,239.9,7608,0.5052672649239173,1860,1466421,18,1.1705033164260632,292,1631,300,,,,34,140,12,292
R4,200,3,20,3845.5781,15652,239.9,13637,0.1287375415282392,4740,1490781,15,0.9583439815997955,295,1582,308,,,,23,300,7,295
R4,200,3,30,4043.6062,15076,239.9,12732,0.1554789068718493,8710,1459989,12,0.7959671000265323,279,1557,294,,,,3,190,19,279
R4,200,6,10,6535.3481,8142,239.9,7262,0.10808155244411692,2740,1379415,31,3.8074183247359374,138,2241,632,,,,57,130,22,138
R4,200,6,20,6597.9116,8260,240.0,8199,0.00738498789346247,4160,1262274,49,5.932203389830509,138,2230,649,,,,82,140,12,138
R4,200,6,30,6867.8623,7999,239.7,7924,0.009376172021502687,3020,1289553,22,2.750343792974122,138,2247,609,,,,44,140,35,138
R4,200,9,10,8855.7881,5569,239.6,5494,0.013467408870533309,3890,1150743,62,11.133057999640869,82,2800,931,,,,143,140,24,82
R4,200,9,20,8958.1562,5977,239.7,5664,0.05236740839886231,2130,1262009,66,11.04232892755563,84,2830,922,,,,76,140,25,84
R4,200,9,30,9278.3975,5802,239.9,4876,0.15960013788348845,4190,1232985,71,12.237159600137883,87,2756,961,,,,116,140,18,87
R4,30,3,10,2132.7959,49261,120.0,544,0.9889567812265281,550,2926276,15,0.30450051765088,489,542,95,,,,52,170,11,489
R4,30,3,20,2233.5176,48096,120.0,1887,0.9607659680638723,1070,2750150,10,0.20791749833666,473,572,92,,,,54,160,5,473
R4,30,3,30,2538.6406,45229,120.0,6518,0.8558889208251343,620,3226227,27,0.5969621260695571,447,552,103,,,,47,150,4,447
R4,30,6,10,3340.2053,40377,120.0,1736,0.9570052257473314,1060,3053650,47,1.1640290264259354,397,633,172,,,,53,160,11,397
R4,30,6,20,3363.7991,40682,120.0,9442,0.7679071825377317,960,3334834,46,1.1307212034806549,397,657,169,,,,68,160,15,397
R4,30,6,30,3861.8447,40572,120.0,2563,0.9368283545302178,930,3002913,35,0.862663906142167,397,686,183,,,,62,170,8,397
R4,30,9,10,4207.771,44710,120.0,4941,0.8894878103332587,1090,3786508,45,1.0064862446879892,438,676,168,,,,61,150,11,438
R4,30,9,20,4056.1538,50000,108.6,3639,0.92722,470,5354080,51,1.02,494,709,185,,,,56,160,7,494
R4,30,9,30,4643.4302,44537,120.0,1316,0.9704515346790309,280,4605041,36,0.8083166805128321,439,703,225,,,,55,160,6,439
R4,50,3,10,3165.8669,26436,120.0,20672,0.2180360114994704,3290,2139374,21,0.7943713118474807,257,1078,147,,,,76,160,18,257
R4,50,3,20,2942.8599,32650,120.0,15708,0.5188973966309341,1940,2552417,15,0.4594180704441041,316,1070,129,,,,89,200,4,316
R4,50,3,30,2891.1443,28921,120.0,19754,0.3169669098578887,1830,2112255,24,0.8298468241070502,283,980,137,,,,60,170,15,283
R4,50,6,10,4974.3809,23092,120.0,10721,0.5357266585830591,4310,2853964,56,2.425082279577343,217,1368,266,,,,111,170,14,217
R4,50,6,20,4709.7148,22178,120.0,4543,0.7951573631526738,1860,2544247,54,2.4348453422310397,211,1338,257,,,,104,150,13,211
R4,50,6,30,4580.2378,23278,120.0,21282,0.08574619812698686,6310,2466370,54,2.3197869232751955,214,1257,249,,,,87,160,17,214
R4,50,9,10,6284.0879,21996,120.0,4051,0.8158301509365339,1950,2992665,95,4.318967084924532,205,1500,330,,,,125,170,22,205
R4,50,9,20,6045.9712,22020,120.0,18697,0.15090826521344233,3300,3114266,107,4.85921889191644,207,1502,330,,,,142,170,11,207
R4,50,9,30,5824.2261,21466,120.0,13485,0.37179726078449643,4200,2756955,81,3.7734091120842264,196,1402,339,,,,96,150,14,196
R5,100,3,10,3017.0698,15229,119.9,12936,0.15056799527217807,4650,1234089,4,0.26265677326154047,290,1177,160,,,,59,370,19,290
R5,100,3,20,2936.2542,15748,119.9,13644,0.1336042672085344,8280,1197704,18,1.1430022860045719,297,1234,186,,,,115,360,10,297
R5,100,3,30,3286.6487,14992,120.0,11077,0.2611392742796158,7950,1281380,18,1.200640341515475,285,1229,200,,,,110,400,13,285
R5,100,6,10,5117.1567,8784,119.9,6651,0.24282786885245902,3480,1287316,27,3.0737704918032787,155,1782,383,,,,55,360,37,155
R5,100,6,20,4989.0454,9517,119.9,8333,0.1244089524009667,3440,1237209,30,3.1522538615109803,165,1844,367,,,,229,300,29,165
R5,100,6,30,5313.3696,9050,120.0,7816,0.136353591160221,3800,1313467,44,4.861878453038674,161,1957,440,,,,62,150,14,161
R5,100,9,10,6824.2051,6798,119.8,6294,0.07413945278022947,3400,1265997,47,6.913798175934098,113,2550,543,,,,116,150,26,113
R5,100,9,20,6686.7515,7409,119.8,7369,0.005398839249561345,3870,1336708,60,8.098258874342015,121,2596,560,,,,108,170,24,121
R5,100,9,30,7012.5669,7333,119.9,5018,0.3156961680076367,3730,1328210,81,11.045956634392471,126,2690,597,,,,134,170,16,126
R5,150,3,10,3565.3433,19431,240.0,11586,0.40373629766867375,9600,1860951,12,0.6175698625907056,368,1626,248,,,,80,380,20,368
