instance,N,M,Seed,S1_prop,S1_acc,S1_gbest,S2_prop,S2_acc,S2_gbest,S4_prop,S4_acc,S4_gbest,S5_prop,S5_acc,S5_gbest,S2_strict,total_prop,S1_prop_share,S2_prop_share,S4_prop_share,S5_prop_share,S1_acc_rate,S2_acc_rate,S4_acc_rate,S5_acc_rate,final_bestZ,best_at_iter,final_iter,final_time_s,iters_per_sec,pm_peak,pm_final,ccrit_peak,restarts,total_prop_per_iter,gain_frac_by_10pct_iters,bestZ_at_iter10pct,incumbent_accepted_jobs,reject_count,reject_frac,incumbent_tardiness,incumbent_revenue,m0_size_final,pm_nstrong_mean,pm_nweak_mean,pm_ncrit_mean,pm_score_min,pm_created_total,pm_deleted_total,distinct_full_min,ham_order_mean_first,ham_order_mean_last,obj_std_first,obj_std_last,best_events_n,gain_frac_first10pct_events,njobs_changed_mean,elite_count,elite_distinct_order,elite_distinct_full,pm_warn_hit,restart_lines
N100_M3_S30,100,3,30,1800000,600000,36,10858500,1743489,293,77077,648,20,148144669,3522,76,12770,160880246,0.01118844634287792,0.06749430256341105,0.00047909548820555635,0.9208381556055055,0.3333333333333333,0.1605644426025694,0.00840717723834607,2.3774058315929007e-05,3305.629395,10815.0,20000.0,143.875,139.01,5790.0,186.0,3726.0,5.0,8044.0123,0.9985360678424385,3208.387695,25.0,75.0,0.75,242.14,3976.2,92.0,66.70646766169155,69.70149253731343,75.95024875621891,-1326.932617,22923,22737,30,98.9885,98.6414,8968.3579,95.0415,68,0.7016744510514198,71.11764705882354,10,5,5,True,5
N100_M6_S10,100,6,10,1800000,600000,43,15010934,3563031,662,39408,449,33,251387843,2721,115,7989,268238185,0.006710453994460185,0.05596121223382122,0.00014691420611871497,0.9371814195655999,0.3333333333333333,0.23736237865012264,0.011393625659764515,1.0823912435574698e-05,5172.055664,18670.0,20000.0,238.514,83.85,6024.0,364.0,3498.0,2.0,13411.90925,0.9949176143786136,4981.388672,38.0,62.0,0.62,411.52,6277.1,85.0,123.69651741293532,136.23383084577114,39.875621890547265,-855.535889,12701,12337,30,99.0989,98.6115,5742.7275,128.82,91,0.9045437433899111,69.56043956043956,10,5,5,True,2
N100_M6_S20,100,6,20,1800000,600000,54,13803010,2967157,551,258314,494,19,242774099,2541,98,7690,258635423,0.00695960351881111,0.05336859831454719,0.0009987572351989851,0.9386730409314427,0.3333333333333333,0.2149644896294359,0.0019124011861532864,1.0466520153782962e-05,5034.02002,18819.0,20000.0,226.955,88.12,5985.0,364.0,3386.0,2.0,12931.77115,0.9946836137467155,4860.824707,38.0,62.0,0.62,365.45,6053.18,80.0,119.59203980099502,126.3681592039801,38.233830845771145,-914.216919,12802,12438,30,98.9218,98.6644,5807.0203,80.5077,97,0.8614959657024069,64.24742268041237,10,5,5,True,2
N100_M6_S30,100,6,30,1800000,600000,53,15235733,3124895,981,147530,484,49,240198051,2857,164,7911,257381314,0.006993514688482786,0.05919517918072328,0.0005731962344399251,0.933238109896354,0.3333333333333333,0.20510302983125261,0.0032806886734901377,1.1894351299295097e-05,5351.92627,19926.0,20000.0,228.579,87.5,5982.0,394.0,3368.0,2.0,12869.0657,0.9955002848821706,5179.484863,39.0,61.0,0.61,297.52,6197.52,78.0,136.47761194029852,146.09452736318408,40.223880597014926,-793.136719,12372,11978,30,98.9885,98.6805,6263.7263,58.1884,97,0.8562502813810826,67.01030927835052,10,5,5,True,2
N100_M9_S10,100,9,10,1614420,538140,53,16229103,4098312,920,326555,249,41,271147916,1714,156,3659,289317994,0.005580088461417993,0.05609434372063288,0.001128706152995102,0.9371968616649541,0.3333333333333333,0.25252855934181945,0.000762505550366707,6.3212729984618435e-06,6859.527344,16391.0,17938.0,300.011,59.79,5831.0,510.0,2983.0,0.0,16128.776563719479,0.9913560648344432,6628.84668,50.0,50.0,0.5,399.71,7952.4,67.0,172.94444444444446,191.15,16.788888888888888,-773.761658,6049,5539,30,99.0989,98.5678,3543.8209,52.0006,107,0.8749247639186365,66.11214953271028,5,5,5,True,0
N100_M9_S20,100,9,20,1800000,600000,52,16818677,4112420,800,227015,420,36,295706952,2454,160,5374,314552644,0.00572241255743506,0.05346856025791346,0.0007217074926256223,0.9400873196920259,0.3333333333333333,0.24451507095355954,0.001850098011144638,8.29875653379972e-06,6848.631836,15520.0,20000.0,289.111,69.18,5960.0,484.0,2996.0,1.0,15727.6322,0.9875161085461319,6540.500977,53.0,47.0,0.47,496.88,8272.98,68.0,166.34825870646767,181.2636815920398,24.422885572139304,-505.991882,9577,9093,30,98.9218,98.6437,3646.9404,52.0175,112,0.8769338300354886,63.99107142857143,10,5,5,True,1
N100_M9_S30,100,9,30,1800000,600000,63,15284414,3852467,616,214573,806,25,286543676,4436,80,10828,303842663,0.0059241186942861936,0.05030371261589423,0.0007061977336605953,0.943065970956159,0.3333333333333333,0.2520519923105982,0.0037562973906316265,1.5481060555669006e-05,7124.931152,10612.0,20000.0,280.534,71.29,5915.0,585.0,2950.0,4.0,15192.13315,0.9902759405508995,6891.237793,52.0,48.0,0.48,374.94,8244.77,71.0,193.43283582089552,200.89054726368158,51.44278606965174,-650.955933,19158,18573,30,98.9885,98.6092,3945.281,113.2139,102,0.871236699996302,62.0,10,5,5,True,4
N150_M3_S10,150,3,10,3000000,600000,32,15370348,2342776,875,48766,830,39,246956246,3638,136,20998,265375360,0.011304742083063025,0.05791927328897453,0.00018376235080755048,0.9305922222771549,0.2,0.1524217929223203,0.017020054956322028,1.473135447645248e-05,3572.80127,19071.0,20000.0,238.547,83.84,9648.0,269.0,8561.0,5.0,13268.768,0.9993487366494433,3468.062256,27.0,123.0,0.82,305.56,4466.31,143.0,90.6268656716418,91.08955223880596,184.3781094527363,-1951.66272,37795,37526,30,149.0598,148.7724,23180.8634,119.1785,65,0.714358054938312,99.6923076923077,20,10,10,True,5
N150_M3_S20,150,3,20,3000000,600000,30,12770176,2217549,828,96414,682,34,236791435,3633,142,17902,252658025,0.011873757027903626,0.05054332234252207,0.00038159880336276675,0.9372013218262115,0.2,0.17365062157326572,0.007073661501441699,1.5342615749594152e-05,4043.001465,14168.0,20000.0,225.78,88.58,9773.0,257.0,8595.0,4.0,12632.90125,0.9988374382350386,3874.168213,29.0,121.0,0.8066666666666666,410.51,5082.52,139.0,92.64179104477611,93.39800995024876,158.19900497512438,-1792.682495,31931,31674,30,148.9931,148.8,18758.0598,153.1558,73,0.7746324279005891,104.61643835616438,20,2,2,True,4
N150_M3_S30,150,3,30,3000000,600000,29,11690358,2076764,742,51051,579,40,261068258,3035,127,15077,275809667,0.01087706617621927,0.04238559919656478,0.0001850950351207233,0.9465522395920952,0.2,0.1776475964209137,0.011341599576893695,1.1625312181766655e-05,3794.548096,18439.0,20000.0,243.225,82.23,9622.0,253.0,8497.0,3.0,13790.48335,0.9991286380979886,3655.971191,27.0,123.0,0.82,328.09,4591.15,133.0,95.09950248756219,98.53731343283582,148.1492537313433,-2175.220947,23911,23658,30,148.9839,148.6667,24301.2466,55.7249,68,0.7640158394157169,103.29411764705883,20,10,10,True,3
